Year,Game ID,Series,URL1,URL2,Team1,Team2,Start Date,End Date
2023,001,eastern conference first round,/playoffs/2023-nba-eastern-conference-first-round-heat-vs-bucks.html,/playoffs/2023-nba-eastern-conference-first-round-bucks-vs-heat.html,MIL,MIA,4/16/23,4/26/23
2023,002,eastern conference first round,/playoffs/2023-nba-eastern-conference-first-round-knicks-vs-cavaliers.html,/playoffs/2023-nba-eastern-conference-first-round-cavaliers-vs-knicks.html,CLE,NYK,4/15/23,4/26/23
2023,003,eastern conference first round,/playoffs/2023-nba-eastern-conference-first-round-76ers-vs-nets.html,/playoffs/2023-nba-eastern-conference-first-round-nets-vs-76ers.html,PHI,BRK,4/15/23,4/22/23
2023,004,eastern conference first round,/playoffs/2023-nba-eastern-conference-first-round-celtics-vs-hawks.html,/playoffs/2023-nba-eastern-conference-first-round-hawks-vs-celtics.html,BOS,ATL,4/15/23,4/27/23
2023,005,western conference first round,/playoffs/2023-nba-western-conference-first-round-nuggets-vs-timberwolves.html,/playoffs/2023-nba-western-conference-first-round-timberwolves-vs-nuggets.html,DEN,MIN,4/16/23,4/25/23
2023,006,western conference first round,/playoffs/2023-nba-western-conference-first-round-suns-vs-clippers.html,/playoffs/2023-nba-western-conference-first-round-clippers-vs-suns.html,PHO,LAC,4/16/23,4/25/23
2023,007,western conference first round,/playoffs/2023-nba-western-conference-first-round-warriors-vs-kings.html,/playoffs/2023-nba-western-conference-first-round-kings-vs-warriors.html,GSW,SAC,4/15/23,4/30/23
2023,008,western conference first round,/playoffs/2023-nba-western-conference-first-round-lakers-vs-grizzlies.html,/playoffs/2023-nba-western-conference-first-round-grizzlies-vs-lakers.html,MEM,LAL,4/16/23,4/28/23
2023,009,eastern conference semifinals,/playoffs/2023-nba-eastern-conference-semifinals-heat-vs-knicks.html,/playoffs/2023-nba-eastern-conference-semifinals-knicks-vs-heat.html,NYK,MIA,4/30/23,5/12/23
2023,010,eastern conference semifinals,/playoffs/2023-nba-eastern-conference-semifinals-celtics-vs-76ers.html,/playoffs/2023-nba-eastern-conference-semifinals-76ers-vs-celtics.html,BOS,PHI,5/1/23,5/14/23
2023,011,western conference semifinals,/playoffs/2023-nba-western-conference-semifinals-nuggets-vs-suns.html,/playoffs/2023-nba-western-conference-semifinals-suns-vs-nuggets.html,PHO,DEN,4/29/23,5/11/23
2023,012,western conference semifinals,/playoffs/2023-nba-western-conference-semifinals-lakers-vs-warriors.html,/playoffs/2023-nba-western-conference-semifinals-warriors-vs-lakers.html,GSW,LAL,5/2/23,5/12/23
2023,013,western conference finals,/playoffs/2023-nba-western-conference-finals-nuggets-vs-lakers.html,/playoffs/2023-nba-western-conference-finals-lakers-vs-nuggets.html,DEN,LAL,5/16/23,5/22/23
