score,series_ID,starters_playoff_exp_diff,bench_playoff_exp_diff,at_home,team,reg_season_points,opp_reg_season_pa
93,436,-660,-656,0,Miami Heat,103.4,
88,436,660,656,1,Atlanta Hawks,101.4,
86,436,-660,-656,0,Miami Heat,103.4,
104,436,660,656,1,Atlanta Hawks,101.4,
86,436,660,656,0,Atlanta Hawks,101.4,
90,436,-660,-656,1,Miami Heat,103.4,
103,436,660,656,0,Atlanta Hawks,101.4,
89,436,-660,-656,1,Miami Heat,103.4,
91,436,-660,-656,0,Miami Heat,103.4,
102,436,660,656,1,Atlanta Hawks,101.4,
96,437,-6986,-4329,0,Cleveland Cavaliers,101.2,
104,437,6986,4329,1,Chicago Bulls,98.0,
96,437,-6986,-4329,0,Cleveland Cavaliers,101.2,
105,437,6986,4329,1,Chicago Bulls,98.0,
95,437,6986,4329,0,Chicago Bulls,98.0,
92,437,-6986,-4329,1,Cleveland Cavaliers,101.2,
89,438,2200,4058,0,Indiana Pacers,101.0,
88,438,-2200,-4058,1,Orlando Magic,105.7,
103,438,2200,4058,0,Indiana Pacers,101.0,
101,438,-2200,-4058,1,Orlando Magic,105.7,
86,438,-2200,-4058,0,Orlando Magic,105.7,
99,438,2200,4058,1,Indiana Pacers,101.0,
80,439,-5253,-1088,0,New Jersey Nets,103.2,
91,439,5253,1088,1,New York Knicks,98.5,
81,439,-5253,-1088,0,New Jersey Nets,103.2,
90,439,5253,1088,1,New York Knicks,98.5,
92,439,5253,1088,0,New York Knicks,98.5,
93,439,-5253,-1088,1,New Jersey Nets,103.2,
102,439,5253,1088,0,New York Knicks,98.5,
92,439,-5253,-1088,1,New Jersey Nets,103.2,
82,440,-6161,-4827,0,Denver Nuggets,100.3,
106,440,6161,4827,1,Seattle SuperSonics,105.9,
87,440,-6161,-4827,0,Denver Nuggets,100.3,
97,440,6161,4827,1,Seattle SuperSonics,105.9,
93,440,6161,4827,0,Seattle SuperSonics,105.9,
110,440,-6161,-4827,1,Denver Nuggets,100.3,
85,440,6161,4827,0,Seattle SuperSonics,105.9,
94,440,-6161,-4827,1,Denver Nuggets,100.3,
98,440,-6161,-4827,0,Denver Nuggets,100.3,
94,440,6161,4827,1,Seattle SuperSonics,105.9,
104,441,4164,5447,0,Portland Trail Blazers,107.3,
114,441,-4164,-5447,1,Houston Rockets,101.1,
104,441,4164,5447,0,Portland Trail Blazers,107.3,
115,441,-4164,-5447,1,Houston Rockets,101.1,
115,441,-4164,-5447,0,Houston Rockets,101.1,
118,441,4164,5447,1,Portland Trail Blazers,107.3,
92,441,-4164,-5447,0,Houston Rockets,101.1,
89,441,4164,5447,1,Portland Trail Blazers,107.3,
104,442,-9656,-7384,0,Golden State Warriors,107.9,
111,442,9656,7384,1,Phoenix Suns,108.2,
111,442,-9656,-7384,0,Golden State Warriors,107.9,
117,442,9656,7384,1,Phoenix Suns,108.2,
140,442,9656,7384,0,Phoenix Suns,108.2,
133,442,-9656,-7384,1,Golden State Warriors,107.9,
89,443,1306,-494,0,Utah Jazz,101.9,
106,443,-1306,494,1,San Antonio Spurs,100.0,
96,443,1306,-494,0,Utah Jazz,101.9,
84,443,-1306,494,1,San Antonio Spurs,100.0,
72,443,-1306,494,0,San Antonio Spurs,100.0,
105,443,1306,-494,1,Utah Jazz,101.9,
90,443,-1306,494,0,San Antonio Spurs,100.0,
95,443,1306,-494,1,Utah Jazz,101.9,
96,444,-1080,3787,0,Indiana Pacers,101.0,
85,444,1080,-3787,1,Atlanta Hawks,101.4,
69,444,-1080,3787,0,Indiana Pacers,101.0,
92,444,1080,-3787,1,Atlanta Hawks,101.4,
81,444,1080,-3787,0,Atlanta Hawks,101.4,
101,444,-1080,3787,1,Indiana Pacers,101.0,
86,444,1080,-3787,0,Atlanta Hawks,101.4,
102,444,-1080,3787,1,Indiana Pacers,101.0,
76,444,-1080,3787,0,Indiana Pacers,101.0,
88,444,1080,-3787,1,Atlanta Hawks,101.4,
79,444,1080,-3787,0,Atlanta Hawks,101.4,
98,444,-1080,3787,1,Indiana Pacers,101.0,
86,445,5989,-1029,0,Chicago Bulls,98.0,
90,445,-5989,1029,1,New York Knicks,98.5,
91,445,5989,-1029,0,Chicago Bulls,98.0,
96,445,-5989,1029,1,New York Knicks,98.5,
102,445,-5989,1029,0,New York Knicks,98.5,
104,445,5989,-1029,1,Chicago Bulls,98.0,
83,445,-5989,1029,0,New York Knicks,98.5,
95,445,5989,-1029,1,Chicago Bulls,98.0,
86,445,5989,-1029,0,Chicago Bulls,98.0,
87,445,-5989,1029,1,New York Knicks,98.5,
79,445,-5989,1029,0,New York Knicks,98.5,
93,445,5989,-1029,1,Chicago Bulls,98.0,
77,445,5989,-1029,0,Chicago Bulls,98.0,
87,445,-5989,1029,1,New York Knicks,98.5,
91,446,10275,1997,0,Phoenix Suns,108.2,
87,446,-10275,-1997,1,Houston Rockets,101.1,
