score,series_ID,starters_playoff_exp_dif,bench_playoff_exp_dif,at_home,team,reg_season_points,opp_reg_season_pa,year,starters_playoff_exp_quartile,total_playoff_exp_quartile
93,436,-660,-656,0,Miami Heat,103.4,96.2,1994,2,2
88,436,660,656,1,Atlanta Hawks,101.4,100.7,1994,3,3
86,436,-660,-656,0,Miami Heat,103.4,96.2,1994,2,2
104,436,660,656,1,Atlanta Hawks,101.4,100.7,1994,3,3
86,436,660,656,0,Atlanta Hawks,101.4,100.7,1994,3,3
90,436,-660,-656,1,Miami Heat,103.4,96.2,1994,2,2
103,436,660,656,0,Atlanta Hawks,101.4,100.7,1994,3,3
89,436,-660,-656,1,Miami Heat,103.4,96.2,1994,2,2
91,436,-660,-656,0,Miami Heat,103.4,96.2,1994,2,2
102,436,660,656,1,Atlanta Hawks,101.4,100.7,1994,3,3
96,437,-6986,-4329,0,Cleveland Cavaliers,101.2,94.9,1994,1,1
104,437,6986,4329,1,Chicago Bulls,98.0,94.9,1994,4,4
96,437,-6986,-4329,0,Cleveland Cavaliers,101.2,94.9,1994,1,1
105,437,6986,4329,1,Chicago Bulls,98.0,94.9,1994,4,4
95,437,6986,4329,0,Chicago Bulls,98.0,94.9,1994,4,4
92,437,-6986,-4329,1,Cleveland Cavaliers,101.2,94.9,1994,1,1
89,438,2200,4058,0,Indiana Pacers,101.0,97.5,1994,3,3
88,438,-2200,-4058,1,Orlando Magic,105.7,97.5,1994,2,2
103,438,2200,4058,0,Indiana Pacers,101.0,97.5,1994,3,3
101,438,-2200,-4058,1,Orlando Magic,105.7,97.5,1994,2,2
86,438,-2200,-4058,0,Orlando Magic,105.7,97.5,1994,2,2
99,438,2200,4058,1,Indiana Pacers,101.0,97.5,1994,3,3
80,439,-5253,-1088,0,New Jersey Nets,103.2,91.5,1994,1,2
91,439,5253,1088,1,New York Knicks,98.5,101.0,1994,4,3
81,439,-5253,-1088,0,New Jersey Nets,103.2,91.5,1994,1,2
90,439,5253,1088,1,New York Knicks,98.5,101.0,1994,4,3
92,439,5253,1088,0,New York Knicks,98.5,101.0,1994,4,3
93,439,-5253,-1088,1,New Jersey Nets,103.2,91.5,1994,1,2
102,439,5253,1088,0,New York Knicks,98.5,101.0,1994,4,3
92,439,-5253,-1088,1,New Jersey Nets,103.2,91.5,1994,1,2
82,440,-6161,-4827,0,Denver Nuggets,100.3,96.9,1994,1,1
106,440,6161,4827,1,Seattle SuperSonics,105.9,98.8,1994,4,4
87,440,-6161,-4827,0,Denver Nuggets,100.3,96.9,1994,1,1
97,440,6161,4827,1,Seattle SuperSonics,105.9,98.8,1994,4,4
93,440,6161,4827,0,Seattle SuperSonics,105.9,98.8,1994,4,4
110,440,-6161,-4827,1,Denver Nuggets,100.3,96.9,1994,1,1
85,440,6161,4827,0,Seattle SuperSonics,105.9,98.8,1994,4,4
94,440,-6161,-4827,1,Denver Nuggets,100.3,96.9,1994,1,1
98,440,-6161,-4827,0,Denver Nuggets,100.3,96.9,1994,1,1
94,440,6161,4827,1,Seattle SuperSonics,105.9,98.8,1994,4,4
104,441,4164,5447,0,Portland Trail Blazers,107.3,96.8,1994,3,4
114,441,-4164,-5447,1,Houston Rockets,101.1,104.6,1994,2,1
104,441,4164,5447,0,Portland Trail Blazers,107.3,96.8,1994,3,4
115,441,-4164,-5447,1,Houston Rockets,101.1,104.6,1994,2,1
115,441,-4164,-5447,0,Houston Rockets,101.1,104.6,1994,2,1
118,441,4164,5447,1,Portland Trail Blazers,107.3,96.8,1994,3,4
92,441,-4164,-5447,0,Houston Rockets,101.1,104.6,1994,2,1
89,441,4164,5447,1,Portland Trail Blazers,107.3,96.8,1994,3,4
104,442,-9656,-7384,0,Golden State Warriors,107.9,103.4,1994,1,1
111,442,9656,7384,1,Phoenix Suns,108.2,103.4,1994,4,4
111,442,-9656,-7384,0,Golden State Warriors,107.9,103.4,1994,1,1
117,442,9656,7384,1,Phoenix Suns,108.2,103.4,1994,4,4
140,442,9656,7384,0,Phoenix Suns,108.2,103.4,1994,4,4
