2022: GSW vs. BOS
 
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Stephen Curry,33,6,225,66,137,31,71,24,28,2,34,36,30,12,1,15,18,187,.482,.437,.857,37.5,31.2,6.0,5.0,2.0,0.2,curryst01
2,Andrew Wiggins,26,6,235,45,101,11,37,9,13,12,41,53,13,9,9,11,13,110,.446,.297,.692,39.2,18.3,8.8,2.2,1.5,1.5,wiggian01
3,Klay Thompson,31,6,230,36,101,20,57,10,10,2,16,18,12,8,3,7,13,102,.356,.351,1.000,38.3,17.0,3.0,2.0,1.3,0.5,thompkl01
4,Jordan Poole,22,6,125,27,62,15,39,10,11,1,10,11,11,3,1,12,12,79,.435,.385,.909,20.8,13.2,1.8,1.8,0.5,0.2,poolejo01
5,Draymond Green,31,6,217,14,42,2,16,7,12,14,34,48,37,10,4,15,25,37,.333,.125,.583,36.2,6.2,8.0,6.2,1.7,0.7,greendr01
6,Gary Payton II,29,5,93,13,22,2,7,7,10,4,12,16,7,8,2,2,13,35,.591,.286,.700,18.6,7.0,3.2,1.4,1.6,0.4,paytoga02
7,Otto Porter Jr.,28,6,102,10,17,9,16,2,2,2,10,12,6,6,1,2,5,31,.588,.563,1.000,17.0,5.2,2.0,1.0,1.0,0.2,porteot01
8,Kevon Looney,25,6,130,14,22,0,0,2,2,21,24,45,16,4,5,10,17,30,.636,,1.000,21.7,5.0,7.5,2.7,0.7,0.8,looneke01
9,Nemanja Bjelica,33,5,29,4,8,1,2,0,0,1,7,8,1,2,0,2,4,9,.500,.500,,5.8,1.8,1.6,0.2,0.4,0.0,bjeline01
10,Andre Iguodala,38,4,19,3,4,1,1,0,0,0,0,0,5,0,0,1,3,7,.750,1.000,,4.8,1.8,0.0,1.3,0.0,0.0,iguodan01
11,Moses Moody,19,4,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1.000,,,2.8,0.5,0.0,0.0,0.0,0.3,moodymo01
12,Jonathan Kuminga,19,4,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,2.0,0.0,0.3,0.0,0.0,0.0,kuminjo01
13,Damion Lee,29,4,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,0.0,0.0,0.0,leeda03
14,Juan Toscano-Anderson,28,4,8,0,1,0,1,0,0,0,2,2,3,0,0,2,2,0,.000,.000,,2.0,0.0,0.5,0.8,0.0,0.0,toscaju01
 
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jaylen Brown,25,6,233,50,116,16,47,25,31,11,33,44,22,5,2,20,15,141,.431,.340,.806,38.8,23.5,7.3,3.7,0.8,0.3,brownja02
2,Jayson Tatum,23,6,244,44,120,20,44,21,32,5,36,41,42,7,4,23,15,129,.367,.455,.656,40.7,21.5,6.8,7.0,1.2,0.7,tatumja01
3,Marcus Smart,27,6,213,34,79,14,34,9,12,6,21,27,30,9,0,19,19,91,.430,.412,.750,35.5,15.2,4.5,5.0,1.5,0.0,smartma01
4,Al Horford,35,6,191,26,43,15,24,8,12,10,41,51,17,4,4,10,12,75,.605,.625,.667,31.8,12.5,8.5,2.8,0.7,0.7,horfoal01
5,Derrick White,27,6,159,18,55,10,25,13,14,1,8,9,13,4,3,10,9,59,.327,.400,.929,26.5,9.8,1.5,2.2,0.7,0.5,whitede01
6,Robert Williams,24,6,158,20,26,0,0,5,6,17,28,45,9,5,17,4,10,45,.769,,.833,26.3,7.5,7.5,1.5,0.8,2.8,williro04
7,Grant Williams,23,6,102,9,17,3,10,4,6,3,11,14,6,1,4,4,14,25,.529,.300,.667,17.0,4.2,2.3,1.0,0.2,0.7,willigr01
8,Payton Pritchard,24,6,67,6,20,3,14,1,2,4,9,13,6,1,0,5,1,16,.300,.214,.500,11.2,2.7,2.2,1.0,0.2,0.0,pritcpa01
9,Aaron Nesmith,22,5,16,2,6,0,3,3,4,1,3,4,2,1,0,0,1,7,.333,.000,.750,3.2,1.4,0.8,0.4,0.2,0.0,nesmiaa01
10,Luke Kornet,26,3,6,2,2,1,1,0,0,0,2,2,1,0,0,1,0,5,1.000,1.000,,2.0,1.7,0.7,0.3,0.0,0.0,kornelu01
11,Malik Fitts,24,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1.000,1.000,,2.0,1.0,0.0,0.0,0.0,0.0,fittsma01
12,Sam Hauser,24,5,11,1,3,1,2,0,0,0,0,0,2,0,0,0,0,3,.333,.500,,2.2,0.6,0.0,0.4,0.0,0.0,hausesa01
13,Nik Stauskas,28,5,9,1,4,1,4,0,0,0,3,3,1,0,0,0,0,3,.250,.250,,1.8,0.6,0.6,0.2,0.0,0.0,stausni01
14,Daniel Theis,29,2,20,1,2,1,2,0,0,0,5,5,1,0,2,1,1,3,.500,.500,,10.0,1.5,2.5,0.5,0.0,1.0,theisda01
15,Juwan Morgan,24,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.3,0.0,0.3,0.0,0.0,0.0,morgaju01
