2019: GSW vs. TOR
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Kawhi Leonard,27,6,243,49,113,15,42,58,64,16,43,59,25,12,7,18,15,171,.434,.357,.906,40.5,28.5,9.8,4.2,2.0,1.2,leonaka01
2,Pascal Siakam,24,6,241,49,97,5,21,16,21,12,33,45,22,3,4,9,11,119,.505,.238,.762,40.2,19.8,7.5,3.7,0.5,0.7,siakapa01
3,Kyle Lowry,32,6,229,34,80,14,38,15,19,3,21,24,43,10,3,15,27,97,.425,.368,.789,38.2,16.2,4.0,7.2,1.7,0.5,lowryky01
4,Fred VanVleet,24,6,195,28,63,16,40,12,14,4,12,16,13,7,0,6,13,84,.444,.400,.857,32.5,14.0,2.7,2.2,1.2,0.0,vanvlfr01
5,Marc Gasol,34,6,173,21,47,6,19,24,26,5,39,44,16,3,2,7,25,72,.447,.316,.923,28.8,12.0,7.3,2.7,0.5,0.3,gasolma01
6,Serge Ibaka,29,6,116,28,50,2,6,10,13,11,20,31,6,5,10,8,23,68,.560,.333,.769,19.3,11.3,5.2,1.0,0.8,1.7,ibakase01
7,Danny Green,31,6,163,16,41,12,33,0,0,7,14,21,7,7,3,8,15,44,.390,.364,,27.2,7.3,3.5,1.2,1.2,0.5,greenda02
8,Norman Powell,25,6,66,4,13,1,6,2,2,0,6,6,4,2,0,2,4,11,.308,.167,1.000,11.0,1.8,1.0,0.7,0.3,0.0,powelno01
9,Patrick McCaw,23,4,12,1,2,1,1,0,0,0,0,0,2,0,0,0,0,3,.500,1.000,,3.0,0.8,0.0,0.5,0.0,0.0,mccawpa01
10,Jeremy Lin,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,linje01
11,Jodie Meeks,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,meeksjo01
12,Malcolm Miller,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,millema01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Stephen Curry,30,6,250,53,128,23,67,54,57,6,25,31,36,9,1,17,15,183,.414,.343,.947,41.7,30.5,5.2,6.0,1.5,0.2,curryst01
2,Klay Thompson,28,5,188,46,85,24,41,14,16,4,20,24,12,4,0,6,15,130,.541,.585,.875,37.6,26.0,4.8,2.4,0.8,0.0,thompkl01
3,Draymond Green,28,6,248,26,60,5,19,18,21,9,56,65,56,10,6,30,26,75,.433,.263,.857,41.3,12.5,10.8,9.3,1.7,1.0,greendr01
4,Andre Iguodala,35,6,188,22,51,8,26,3,9,5,22,27,24,6,9,9,12,55,.431,.308,.333,31.3,9.2,4.5,4.0,1.0,1.5,iguodan01
5,DeMarcus Cousins,28,6,108,17,40,2,9,14,23,4,24,28,14,4,6,13,18,50,.425,.222,.609,18.0,8.3,4.7,2.3,0.7,1.0,couside01
6,Quinn Cook,25,6,88,11,29,5,16,2,2,0,5,5,5,1,1,2,8,29,.379,.313,1.000,14.7,4.8,0.8,0.8,0.2,0.2,cookqu01
7,Kevon Looney,22,5,104,14,24,0,0,1,4,7,9,16,6,2,1,5,14,29,.583,,.250,20.8,5.8,3.2,1.2,0.4,0.2,looneke01
8,Shaun Livingston,33,6,98,10,24,0,1,8,8,3,6,9,9,4,1,5,8,28,.417,.000,1.000,16.3,4.7,1.5,1.5,0.7,0.2,livinsh01
9,Jonas Jerebko,31,4,26,4,14,3,8,3,4,4,1,5,1,0,0,0,2,14,.286,.375,.750,6.5,3.5,1.3,0.3,0.0,0.0,jerebjo01
10,Alfonzo McKinnie,26,6,57,5,16,3,10,0,3,5,5,10,2,0,0,3,12,13,.313,.300,.000,9.5,2.2,1.7,0.3,0.0,0.0,mckinal01
11,Andrew Bogut,34,5,45,6,8,0,0,0,0,4,11,15,3,1,1,2,8,12,.750,,,9.0,2.4,3.0,0.6,0.2,0.2,bogutan01
12,Kevin Durant,30,1,12,3,5,3,3,2,2,0,2,2,0,0,1,1,2,11,.600,1.000,1.000,12.0,11.0,2.0,0.0,0.0,1.0,duranke01
13,Jordan Bell,24,4,25,3,4,0,0,0,0,2,3,5,1,0,2,0,2,6,.750,,,6.3,1.5,1.3,0.3,0.0,0.5,belljo01
14,Jacob Evans,21,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,0.7,0.0,0.0,0.0,0.0,0.0,evansja02
15,Damian Jones,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,jonesda03
