2018: GSW vs. CLE
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Kevin Durant,29,4,165,40,76,9,22,26,27,2,41,43,30,3,9,9,12,115,.526,.409,.963,41.3,28.8,10.8,7.5,0.8,2.3,duranke01
2,Stephen Curry,29,4,162,37,92,22,53,14,14,3,21,24,27,6,3,11,11,110,.402,.415,1.000,40.5,27.5,6.0,6.8,1.5,0.8,curryst01
3,Klay Thompson,27,4,148,24,50,12,28,4,5,0,15,15,4,2,1,5,12,64,.480,.429,.800,37.0,16.0,3.8,1.0,0.5,0.3,thompkl01
4,Draymond Green,27,4,165,15,29,3,14,4,5,4,20,24,34,8,6,5,18,37,.517,.214,.800,41.3,9.3,6.0,8.5,2.0,1.5,greendr01
5,JaVale McGee,30,4,55,16,20,0,0,0,1,4,5,9,0,0,5,1,6,32,.800,,.000,13.8,8.0,2.3,0.0,0.0,1.3,mcgeeja01
6,Shaun Livingston,32,4,65,13,15,0,0,4,4,1,10,11,6,1,0,1,7,30,.867,,1.000,16.3,7.5,2.8,1.5,0.3,0.0,livinsh01
7,Jordan Bell,23,4,54,10,14,0,1,3,6,4,9,13,4,1,2,0,4,23,.714,.000,.500,13.5,5.8,3.3,1.0,0.3,0.5,belljo01
8,Andre Iguodala,34,2,45,7,12,3,6,2,2,1,3,4,1,3,2,1,6,19,.583,.500,1.000,22.5,9.5,2.0,0.5,1.5,1.0,iguodan01
9,Kevon Looney,21,4,39,5,7,0,0,0,4,4,2,6,1,1,0,0,4,10,.714,,.000,9.8,2.5,1.5,0.3,0.3,0.0,looneke01
10,Zaza Pachulia,33,2,6,1,3,0,0,6,6,1,2,3,0,0,1,1,0,8,.333,,1.000,3.0,4.0,1.5,0.0,0.0,0.5,pachuza01
11,David West,37,4,28,3,5,1,1,0,0,2,3,5,4,0,3,3,4,7,.600,1.000,,7.0,1.8,1.3,1.0,0.0,0.8,westda01
12,Nick Young,32,4,38,2,13,1,10,0,0,0,2,2,0,0,0,0,3,5,.154,.100,,9.5,1.3,0.5,0.0,0.0,0.0,youngni01
13,Quinn Cook,24,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,.333,.000,,2.0,1.0,0.0,0.0,0.0,0.0,cookqu01
14,Patrick McCaw,22,4,11,0,0,0,0,2,2,1,0,1,0,1,0,0,0,2,,,1.000,2.8,0.5,0.3,0.0,0.3,0.0,mccawpa01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,LeBron James,33,4,179,49,93,6,18,32,38,9,25,34,40,5,4,20,11,136,.527,.333,.842,44.8,34.0,8.5,10.0,1.3,1.0,jamesle01
2,Kevin Love,29,4,133,26,64,9,28,15,16,14,31,45,7,4,1,5,6,76,.406,.321,.938,33.3,19.0,11.3,1.8,1.0,0.3,loveke01
3,J.R. Smith,32,4,130,13,41,9,25,3,5,4,9,13,5,5,0,3,8,38,.317,.360,.600,32.5,9.5,3.3,1.3,1.3,0.0,smithjr01
4,George Hill,31,4,117,10,31,7,16,3,6,5,4,9,9,3,1,6,16,30,.323,.438,.500,29.3,7.5,2.3,2.3,0.8,0.3,hillge01
5,Rodney Hood,25,4,56,12,27,1,5,2,3,5,10,15,3,2,2,2,4,27,.444,.200,.667,14.0,6.8,3.8,0.8,0.5,0.5,hoodro01
6,Tristan Thompson,26,4,94,13,25,0,0,1,3,8,13,21,0,0,3,1,7,27,.520,,.333,23.5,6.8,5.3,0.0,0.0,0.8,thomptr01
7,Larry Nance Jr.,25,4,68,9,18,0,0,5,12,15,13,28,6,2,2,2,7,23,.500,,.417,17.0,5.8,7.0,1.5,0.5,0.5,nancela02
8,Jeff Green,31,4,97,8,28,3,14,2,2,2,3,5,8,1,1,2,3,21,.286,.214,1.000,24.3,5.3,1.3,2.0,0.3,0.3,greenje02
9,Jordan Clarkson,25,2,25,3,13,0,3,0,0,1,3,4,1,2,1,2,2,6,.231,.000,,12.5,3.0,2.0,0.5,1.0,0.5,clarkjo01
10,Kyle Korver,36,4,65,1,16,1,11,3,5,2,5,7,3,0,1,2,7,6,.063,.091,.600,16.3,1.5,1.8,0.8,0.0,0.3,korveky01
11,Ante Žižić,21,3,5,3,3,0,0,0,0,1,0,1,0,0,0,0,2,6,1.000,,,1.7,2.0,0.3,0.0,0.0,0.0,zizican01
12,José Calderón,36,3,8,2,4,0,1,0,0,1,2,3,2,1,0,0,0,4,.500,.000,,2.7,1.3,1.0,0.7,0.3,0.0,caldejo01
13,Cedi Osman,22,3,8,2,5,0,1,0,0,0,1,1,0,0,0,0,0,4,.400,.000,,2.7,1.3,0.3,0.0,0.0,0.0,osmande01
