2014: SAS vs. MIA
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Tony Parker,31,5,176,35,73,5,12,15,20,0,2,2,23,4,0,10,9,90,.479,.417,.750,35.2,18.0,0.4,4.6,0.8,0.0,parketo01
2,Kawhi Leonard,22,5,167,30,49,11,19,18,23,8,24,32,10,8,6,9,22,89,.612,.579,.783,33.4,17.8,6.4,2.0,1.6,1.2,leonaka01
3,Tim Duncan,37,5,165,29,51,0,1,19,28,13,37,50,10,2,4,12,12,77,.569,.000,.679,33.0,15.4,10.0,2.0,0.4,0.8,duncati01
4,Manu Ginóbili,36,5,143,24,48,10,24,14,16,0,15,15,22,5,1,12,16,72,.500,.417,.875,28.6,14.4,3.0,4.4,1.0,0.2,ginobma01
5,Patty Mills,25,5,76,19,35,13,23,0,0,1,6,7,8,2,0,1,5,51,.543,.565,,15.2,10.2,1.4,1.6,0.4,0.0,millspa02
6,Danny Green,26,5,106,17,32,9,20,3,4,2,8,10,6,10,2,6,14,46,.531,.450,.750,21.2,9.2,2.0,1.2,2.0,0.4,greenda02
7,Boris Diaw,31,5,176,12,33,3,9,4,8,9,34,43,29,4,1,8,5,31,.364,.333,.500,35.2,6.2,8.6,5.8,0.8,0.2,diawbo01
8,Tiago Splitter,29,5,84,12,17,0,0,7,9,3,14,17,10,3,3,6,9,31,.706,,.778,16.8,6.2,3.4,2.0,0.6,0.6,splitti01
9,Marco Belinelli,27,5,59,8,17,4,9,3,4,0,6,6,3,1,0,3,3,23,.471,.444,.750,11.8,4.6,1.2,0.6,0.2,0.0,belinma01
10,Aron Baynes,27,3,6,2,2,0,0,2,2,2,0,2,0,0,0,0,0,6,1.000,,1.000,2.0,2.0,0.7,0.0,0.0,0.0,baynear01
11,Jeff Ayres,26,3,7,1,1,0,0,3,4,1,1,2,1,0,0,0,1,5,1.000,,.750,2.3,1.7,0.7,0.3,0.0,0.0,pendeje02
12,Matt Bonner,33,4,27,1,1,0,0,3,4,0,3,3,5,1,0,0,2,5,1.000,,.750,6.8,1.3,0.8,1.3,0.3,0.0,bonnema01
13,Cory Joseph,22,3,8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,.333,.000,,2.7,0.7,0.0,0.0,0.0,0.0,josepco01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,LeBron James,29,5,189,52,91,14,27,23,29,7,32,39,20,10,2,19,10,141,.571,.519,.793,37.8,28.2,7.8,4.0,2.0,0.4,jamesle01
2,Dwyane Wade,32,5,172,28,64,2,6,18,26,3,16,19,13,8,0,18,14,76,.438,.333,.692,34.4,15.2,3.8,2.6,1.6,0.0,wadedw01
3,Chris Bosh,29,5,181,28,51,5,13,9,11,3,23,26,5,4,1,4,12,70,.549,.385,.818,36.2,14.0,5.2,1.0,0.8,0.2,boshch01
4,Ray Allen,38,5,155,17,41,9,22,6,7,5,10,15,9,8,1,8,14,49,.415,.409,.857,31.0,9.8,3.0,1.8,1.6,0.2,allenra02
5,Rashard Lewis,34,5,114,16,32,10,22,1,2,0,8,8,2,0,2,1,10,43,.500,.455,.500,22.8,8.6,1.6,0.4,0.0,0.4,lewisra02
6,Mario Chalmers,27,5,116,7,21,1,7,7,9,0,7,7,14,5,1,10,16,22,.333,.143,.778,23.2,4.4,1.4,2.8,1.0,0.2,chalmma01
7,Norris Cole,25,5,84,6,19,1,7,3,4,0,6,6,9,2,0,6,8,16,.316,.143,.750,16.8,3.2,1.2,1.8,0.4,0.0,coleno01
8,Chris Andersen,35,5,90,3,12,0,0,7,10,6,22,28,0,2,3,3,14,13,.250,,.700,18.0,2.6,5.6,0.0,0.4,0.6,anderch01
9,James Jones,33,4,14,4,7,3,6,0,0,0,2,2,0,0,0,0,4,11,.571,.500,,3.5,2.8,0.5,0.0,0.0,0.0,jonesja02
10,Michael Beasley,25,1,17,4,7,0,0,1,3,2,1,3,1,0,0,1,2,9,.571,,.333,17.0,9.0,3.0,1.0,0.0,0.0,beaslmi01
11,Toney Douglas,27,3,10,1,4,1,4,1,2,0,3,3,2,0,0,1,1,4,.250,.250,.500,3.3,1.3,1.0,0.7,0.0,0.0,douglto01
12,Udonis Haslem,33,4,22,2,5,0,0,0,0,2,2,4,0,0,1,0,4,4,.400,,,5.5,1.0,1.0,0.0,0.0,0.3,hasleud01
13,Shane Battier,35,4,33,0,2,0,2,0,0,0,1,1,1,1,0,1,5,0,.000,.000,,8.3,0.0,0.3,0.3,0.3,0.0,battish01
14,Greg Oden,26,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.5,0.0,0.0,0.0,0.0,0.0,odengr01
