2001: LAL vs. PHI
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Shaquille O'Neal,28,5,225,63,110,0,0,39,76,31,48,79,24,2,17,20,20,165,.573,,.513,45.0,33.0,15.8,4.8,0.4,3.4,onealsh01
2,Kobe Bryant,22,5,234,44,106,3,9,32,38,5,34,39,29,7,7,18,15,123,.415,.333,.842,46.8,24.6,7.8,5.8,1.4,1.4,bryanko01
3,Derek Fisher,26,5,156,17,39,10,19,5,6,1,5,6,10,8,1,6,20,49,.436,.526,.833,31.2,9.8,1.2,2.0,1.6,0.2,fishede01
4,Rick Fox,31,5,165,15,34,7,15,12,13,3,20,23,19,6,2,14,14,49,.441,.467,.923,33.0,9.8,4.6,3.8,1.2,0.4,foxri01
5,Robert Horry,30,5,127,14,25,8,13,6,6,10,15,25,6,4,7,2,17,42,.560,.615,1.000,25.4,8.4,5.0,1.2,0.8,1.4,horryro01
6,Horace Grant,35,5,124,10,34,0,0,6,8,12,16,28,3,2,7,2,9,26,.294,,.750,24.8,5.2,5.6,0.6,0.4,1.4,grantho01
7,Tyronn Lue,23,5,74,7,12,4,6,0,0,1,3,4,7,7,1,5,7,18,.583,.667,,14.8,3.6,0.8,1.4,1.4,0.2,luety01
8,Brian Shaw,34,5,93,6,20,3,10,3,5,3,13,16,14,4,0,7,12,18,.300,.300,.600,18.6,3.6,3.2,2.8,0.8,0.0,shawbr01
9,Ron Harper,37,3,25,5,8,1,3,2,3,0,5,5,3,1,1,0,2,13,.625,.333,.667,8.3,4.3,1.7,1.0,0.3,0.3,harpero01
10,Mark Madsen,25,2,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,.000,,,1.0,0.0,0.5,0.0,0.0,0.5,madsema01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Allen Iverson,25,5,239,66,162,11,39,35,48,5,23,28,19,9,1,12,12,178,.407,.282,.729,47.8,35.6,5.6,3.8,1.8,0.2,iversal01
2,Dikembe Mutombo,34,5,208,33,55,0,0,18,26,20,41,61,2,2,11,5,23,84,.600,,.692,41.6,16.8,12.2,0.4,0.4,2.2,mutomdi01
3,Eric Snow,27,5,166,22,54,0,3,19,26,11,11,22,30,8,1,14,14,63,.407,.000,.731,33.2,12.6,4.4,6.0,1.6,0.2,snower01
4,Aaron McKie,28,5,206,15,48,4,9,6,9,7,20,27,30,6,3,14,10,40,.313,.444,.667,41.2,8.0,5.4,6.0,1.2,0.6,mckieaa01
5,Tyrone Hill,32,5,141,13,33,0,0,7,9,7,26,33,2,0,6,5,21,33,.394,,.778,28.2,6.6,6.6,0.4,0.0,1.2,hillty01
6,Matt Geiger,31,5,53,12,18,0,0,2,2,2,3,5,2,1,0,3,20,26,.667,,1.000,10.6,5.2,1.0,0.4,0.2,0.0,geigema01
7,Raja Bell,24,5,79,4,13,0,3,5,10,2,7,9,4,10,0,4,10,13,.308,.000,.500,15.8,2.6,1.8,0.8,2.0,0.0,bellra01
8,Todd MacCulloch,25,5,31,5,12,0,0,3,4,5,2,7,0,0,0,2,4,13,.417,,.750,6.2,2.6,1.4,0.0,0.0,0.0,maccuto01
9,Jumaine Jones,21,5,61,4,10,2,4,0,0,2,8,10,1,1,2,2,5,10,.400,.500,,12.2,2.0,2.0,0.2,0.2,0.4,jonesju01
10,Kevin Ollie,28,5,14,1,3,0,0,3,3,1,0,1,1,0,0,0,1,5,.333,,1.000,2.8,1.0,0.2,0.2,0.0,0.0,ollieke01
11,Rodney Buford,23,3,12,1,6,0,1,0,0,2,4,6,0,0,0,1,2,2,.167,.000,,4.0,0.7,2.0,0.0,0.0,0.0,buforro01
12,George Lynch,30,2,13,1,3,0,0,0,0,2,3,5,1,2,0,0,3,2,.333,,,6.5,1.0,2.5,0.5,1.0,0.0,lynchge01
