1994: HOU vs. NYK
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Hakeem Olajuwon,31,7,302,75,150,1,1,37,43,13,51,64,25,11,27,25,26,188,.500,1.000,.860,43.1,26.9,9.1,3.6,1.6,3.9,olajuha01
2,Vernon Maxwell,28,7,264,35,96,9,40,15,22,3,20,23,20,4,0,21,12,94,.365,.225,.682,37.7,13.4,3.3,2.9,0.6,0.0,maxweve01
3,Robert Horry,23,7,265,24,74,11,36,13,21,13,30,43,26,9,4,10,24,72,.324,.306,.619,37.9,10.3,6.1,3.7,1.3,0.6,horryro01
4,Sam Cassell,24,7,158,19,45,7,16,25,27,6,16,22,20,9,2,18,22,70,.422,.438,.926,22.6,10.0,3.1,2.9,1.3,0.3,cassesa01
5,Otis Thorpe,31,7,277,27,52,0,0,11,22,23,56,79,23,6,0,8,23,65,.519,,.500,39.6,9.3,11.3,3.3,0.9,0.0,thorpot01
6,Carl Herrera,27,7,121,22,38,0,0,6,8,8,17,25,3,3,1,6,21,50,.579,,.750,17.3,7.1,3.6,0.4,0.4,0.1,herreca01
7,Kenny Smith,28,7,178,14,36,5,14,6,6,2,8,10,22,5,0,14,8,39,.389,.357,1.000,25.4,5.6,1.4,3.1,0.7,0.0,smithke01
8,Mario Elie,30,7,79,5,20,2,5,5,6,3,4,7,7,2,1,5,7,17,.250,.400,.833,11.3,2.4,1.0,1.0,0.3,0.1,eliema01
9,Matt Bullard,26,2,27,2,10,2,7,2,4,2,4,6,0,1,1,0,3,8,.200,.286,.500,13.5,4.0,3.0,0.0,0.5,0.5,bullama01
10,Earl Cureton,36,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,curetea01
11,Chris Jent,24,3,7,0,2,0,2,0,0,0,1,1,0,0,0,1,3,0,.000,.000,,2.3,0.0,0.3,0.0,0.0,0.0,jentch01
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Patrick Ewing,31,7,308,58,160,1,5,15,21,32,55,87,12,9,30,22,29,132,.363,.200,.714,44.0,18.9,12.4,1.7,1.3,4.3,ewingpa01
2,John Starks,28,7,293,39,106,16,50,30,39,3,19,22,41,11,1,17,25,124,.368,.320,.769,41.9,17.7,3.1,5.9,1.6,0.1,starkjo01
3,Derek Harper,32,7,266,42,90,17,39,14,17,7,14,21,42,17,1,12,21,115,.467,.436,.824,38.0,16.4,3.0,6.0,2.4,0.1,harpede01
4,Charles Oakley,30,7,285,31,64,0,0,15,18,29,54,83,17,8,1,15,27,77,.484,,.833,40.7,11.0,11.9,2.4,1.1,0.1,oaklech01
5,Charles Smith,28,7,187,26,59,0,2,13,19,14,16,30,12,4,7,8,23,65,.441,.000,.684,26.7,9.3,4.3,1.7,0.6,1.0,smithch01
6,Anthony Mason,27,7,205,22,47,0,0,16,25,14,34,48,9,5,0,8,20,60,.468,,.640,29.3,8.6,6.9,1.3,0.7,0.0,masonan01
7,Greg Anthony,26,7,80,10,31,1,8,2,2,3,3,6,17,3,1,4,9,23,.323,.125,1.000,11.4,3.3,0.9,2.4,0.4,0.1,anthogr01
8,Hubert Davis,23,5,38,2,10,1,1,3,6,2,0,2,2,0,1,1,5,8,.200,1.000,.500,7.6,1.6,0.4,0.4,0.0,0.2,davishu01
9,Anthony Bonner,25,2,11,2,2,0,0,0,1,1,1,2,0,0,0,1,0,4,1.000,,.000,5.5,2.0,1.0,0.0,0.0,0.0,bonnean01
10,Herb Williams,35,4,7,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,.000,,,1.8,0.0,0.0,0.0,0.0,0.3,willihe01
