Year,Game ID,Series,URL1,URL2,Team1,Team2,Start Date,End Date
2023,015,finals,/playoffs/2023-nba-finals-nuggets-vs-heat.html,/playoffs/2023-nba-finals-heat-vs-nuggets.html,DEN,MIA,6/1/23,6/12/23
2022,030,finals,/playoffs/2022-nba-finals-warriors-vs-celtics.html,/playoffs/2022-nba-finals-celtics-vs-warriors.html,GSW,BOS,6/2/22,6/16/22
2021,034,western conference first round,/playoffs/2021-nba-western-conference-first-round-nuggets-vs-trail-blazers.html,/playoffs/2021-nba-western-conference-first-round-trail-blazers-vs-nuggets.html,POR,DEN,5/22/21,6/3/21
2021,045,finals,/playoffs/2021-nba-finals-bucks-vs-suns.html,/playoffs/2021-nba-finals-suns-vs-bucks.html,PHO,MIL,7/6/21,7/20/21
2020,050,western conference first round,/playoffs/2020-nba-western-conference-first-round-lakers-vs-trail-blazers.html,/playoffs/2020-nba-western-conference-first-round-trail-blazers-vs-lakers.html,LAL,POR,8/18/20,8/29/20
2020,060,finals,/playoffs/2020-nba-finals-lakers-vs-heat.html,/playoffs/2020-nba-finals-heat-vs-lakers.html,LAL,MIA,9/30/20,10/11/20
2019,067,western conference first round,/playoffs/2019-nba-western-conference-first-round-trail-blazers-vs-thunder.html,/playoffs/2019-nba-western-conference-first-round-thunder-vs-trail-blazers.html,OKC,POR,4/14/19,4/23/19
2019,072,western conference semifinals,/playoffs/2019-nba-western-conference-semifinals-trail-blazers-vs-nuggets.html,/playoffs/2019-nba-western-conference-semifinals-nuggets-vs-trail-blazers.html,DEN,POR,4/29/19,5/12/19
2019,074,western conference finals,/playoffs/2019-nba-western-conference-finals-warriors-vs-trail-blazers.html,/playoffs/2019-nba-western-conference-finals-trail-blazers-vs-warriors.html,GSW,POR,5/14/19,5/20/19
2019,075,finals,/playoffs/2019-nba-finals-raptors-vs-warriors.html,/playoffs/2019-nba-finals-warriors-vs-raptors.html,GSW,TOR,5/30/19,6/13/19
2018,082,western conference first round,/playoffs/2018-nba-western-conference-first-round-pelicans-vs-trail-blazers.html,/playoffs/2018-nba-western-conference-first-round-trail-blazers-vs-pelicans.html,POR,NOP,4/14/18,4/21/18
2018,090,finals,/playoffs/2018-nba-finals-warriors-vs-cavaliers.html,/playoffs/2018-nba-finals-cavaliers-vs-warriors.html,GSW,CLE,5/31/18,6/8/18
2017,095,western conference first round,/playoffs/2017-nba-western-conference-first-round-warriors-vs-trail-blazers.html,/playoffs/2017-nba-western-conference-first-round-trail-blazers-vs-warriors.html,GSW,POR,4/16/17,4/24/17
2017,105,finals,/playoffs/2017-nba-finals-warriors-vs-cavaliers.html,/playoffs/2017-nba-finals-cavaliers-vs-warriors.html,GSW,CLE,6/1/17,6/12/17
2016,113,western conference first round,/playoffs/2016-nba-western-conference-first-round-trail-blazers-vs-clippers.html,/playoffs/2016-nba-western-conference-first-round-clippers-vs-trail-blazers.html,LAC,POR,4/17/16,4/29/16
2016,116,western conference semifinals,/playoffs/2016-nba-western-conference-semifinals-warriors-vs-trail-blazers.html,/playoffs/2016-nba-western-conference-semifinals-trail-blazers-vs-warriors.html,GSW,POR,5/1/16,5/11/16
2016,120,finals,/playoffs/2016-nba-finals-cavaliers-vs-warriors.html,/playoffs/2016-nba-finals-warriors-vs-cavaliers.html,GSW,CLE,6/2/16,6/19/16
2015,128,western conference first round,/playoffs/2015-nba-western-conference-first-round-grizzlies-vs-trail-blazers.html,/playoffs/2015-nba-western-conference-first-round-trail-blazers-vs-grizzlies.html,MEM,POR,4/19/15,4/29/15
