Player ID,Player name,MP
smitsri01,Rik Smits,166
mckeyde01,Derrick McKey,180
jacksma01,Mark Jackson,186
piercri01,Ricky Pierce,133
davisan01,Antonio Davis,127
davisda01,Dale Davis,184
besttr01,Travis Best,84
millere01,Reggie Miller,31
workmha01,Haywoode Workman,53
ferredu01,Duane Ferrell,69
caldwad01,Adrian Caldwell,3
johnsed03,Eddie Johnson,9
smithst01,Steve Smith,207
blaylmo01,Mookie Blaylock,219
laettch01,Christian Laettner,177
longgr01,Grant Long,188
augmost01,Stacey Augmon,152
ehlocr01,Craig Ehlo,94
hendeal01,Alan Henderson,76
rooksse01,Sean Rooks,61
bullama01,Matt Bullard,25
jordare01,Reggie Jordan,26
