Player ID,Player name,MP
butleji01,Jimmy Butler,71
adebaba01,Bam Adebayo,37
vincega01,Gabe Vincent,25
martica02,Caleb Martin,19
loveke01,Kevin Love,14
robindu01,Duncan Robinson,17
lowryky01,Kyle Lowry,15
strusma01,Max Strus,11
oladivi01,Victor Oladipo,10
herroty01,Tyler Herro,5
highsha01,Haywood Highsmith,4
zelleco01,Cody Zeller,5
hasleud01,Udonis Haslem,0
yurtsom01,Omer Yurtseven,0
middlkh01,Khris Middleton,40
lopezbr01,Brook Lopez,39
holidjr01,Jrue Holiday,34
antetgi01,Giannis Antetokounmpo,28
allengr01,Grayson Allen,19
connapa01,Pat Connaughton,17
portibo01,Bobby Portis,20
inglejo01,Joe Ingles,12
matthwe02,Wesley Matthews,4
crowdja01,Jae Crowder,3
beaucma01,MarJon Beauchamp,2
carteje01,Jevon Carter,2
dragigo01,Goran Dragić,0
antetth01,Thanasis Antetokounmpo,0
leoname01,Meyers Leonard,0
