Player ID,Player name,MP
jordami01,Michael Jordan,196
pippesc01,Scottie Pippen,211
grantho01,Horace Grant,200
cartwbi01,Bill Cartwright,148
armstbj01,B.J. Armstrong,92
perduwi01,Will Perdue,69
paxsojo01,John Paxson,137
hodgecr01,Craig Hodges,67
kingst01,Stacey King,43
hopsode01,Dennis Hopson,6
levincl01,Cliff Levingston,24
willisc01,Scott Williams,7
barklch01,Charles Barkley,205
hawkihe01,Hersey Hawkins,202
gilliar01,Armen Gilliam,177
anderro01,Ron Anderson,142
turnean01,Andre Turner,125
greenri01,Rickey Green,115
bolma01,Manute Bol,73
mahorri01,Rick Mahorn,117
hoppeda01,Dave Hoppen,5
olivebr01,Brian Oliver,5
reidro01,Robert Reid,27
willija01,Jayson Williams,7
