1986: N/A vs. N/A
 
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Kevin McHale,28,6,241,59,103,0,0,37,46,22,29,51,10,5,15,20,20,155,.573,,.804,40.2,25.8,8.5,1.7,0.8,2.5,mchalke01
2,Larry Bird,29,6,269,53,110,7,19,31,33,10,48,58,57,16,2,16,17,144,.482,.368,.939,44.8,24.0,9.7,9.5,2.7,0.3,birdla01
3,Dennis Johnson,31,6,257,34,81,2,7,32,39,11,26,37,32,12,2,19,15,102,.420,.286,.821,42.8,17.0,6.2,5.3,2.0,0.3,johnsde01
4,Danny Ainge,26,6,213,35,63,3,6,14,17,5,16,21,33,15,1,14,23,87,.556,.500,.824,35.5,14.5,3.5,5.5,2.5,0.2,aingeda01
5,Robert Parish,32,6,191,33,79,0,0,10,20,16,25,41,6,3,13,14,9,76,.418,,.500,31.8,12.7,6.8,1.0,0.5,2.2,parisro01
6,Bill Walton,33,6,117,23,37,0,0,2,4,13,27,40,10,3,4,6,17,48,.622,,.500,19.5,8.0,6.7,1.7,0.5,0.7,waltobi01
7,Jerry Sichting,29,6,85,9,20,0,1,0,1,1,4,5,10,0,0,2,6,18,.450,.000,.000,14.2,3.0,0.8,1.7,0.0,0.0,sichtje01
8,Rick Carlisle,26,3,8,3,3,0,0,0,0,0,0,0,3,0,0,0,1,6,1.000,,,2.7,2.0,0.0,1.0,0.0,0.0,carliri01
9,Greg Kite,24,6,30,2,2,0,0,2,2,2,4,6,2,1,1,1,10,6,1.000,,1.000,5.0,1.0,1.0,0.3,0.2,0.2,kitegr01
10,Sam Vincent,22,4,12,2,11,0,0,0,0,1,2,3,0,2,0,1,4,4,.182,,,3.0,1.0,0.8,0.0,0.5,0.0,vincesa01
11,David Thirdkill,25,5,15,1,5,0,1,1,2,1,1,2,1,2,0,2,2,3,.200,.000,.500,3.0,0.6,0.4,0.2,0.4,0.0,thirdda01
12,Scott Wedman,33,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0,wedmasc01

,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Hakeem Olajuwon,23,6,241,56,117,0,0,36,54,27,44,71,11,14,19,16,26,148,.479,,.667,40.2,24.7,11.8,1.8,2.3,3.2,olajuha01
2,Rodney McCray,24,6,237,40,68,0,0,12,17,8,16,24,24,7,5,14,14,92,.588,,.706,39.5,15.3,4.0,4.0,1.2,0.8,mccraro01
3,Ralph Sampson,25,6,193,35,80,0,0,19,26,22,35,57,20,6,5,13,17,89,.438,,.731,32.2,14.8,9.5,3.3,1.0,0.8,sampsra01
4,Robert Reid,30,6,241,37,88,1,8,11,12,6,20,26,52,8,0,11,17,86,.420,.125,.917,40.2,14.3,4.3,8.7,1.3,0.0,reidro01
5,Mitchell Wiggins,26,6,133,23,51,0,1,4,6,12,10,22,8,5,1,8,17,50,.451,.000,.667,22.2,8.3,3.7,1.3,0.8,0.2,wiggimi01
6,Lewis Lloyd,26,6,134,19,50,0,0,8,10,4,7,11,17,3,1,12,16,46,.380,,.800,22.3,7.7,1.8,2.8,0.5,0.2,lloydle01
7,Allen Leavell,28,6,72,13,34,4,8,4,5,1,4,5,18,4,0,3,4,34,.382,.500,.800,12.0,5.7,0.8,3.0,0.7,0.0,leaveal01
8,Jim Petersen,23,6,136,14,45,0,0,3,4,22,21,43,11,4,3,5,20,31,.311,,.750,22.7,5.2,7.2,1.8,0.7,0.5,peterji01
9,Craig Ehlo,24,4,10,5,7,0,0,2,3,1,1,2,1,2,1,1,0,12,.714,,.667,2.5,3.0,0.5,0.3,0.5,0.3,ehlocr01
10,Steve Harris,22,4,27,5,12,0,0,2,5,2,2,4,0,1,3,1,0,12,.417,,.400,6.8,3.0,1.0,0.0,0.3,0.8,harrist01
11,Hank McDowell,26,5,9,2,3,0,0,4,6,4,1,5,3,0,0,1,2,8,.667,,.667,1.8,1.6,1.0,0.6,0.0,0.0,mcdowha01
12,Granville Waiters,25,4,7,2,2,0,0,0,0,2,1,3,0,0,2,1,0,4,1.000,,,1.8,1.0,0.8,0.0,0.0,0.5,waitegr01
