Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
1993,NBA,Eastern Conf First Round,Apr 29 - May 5 1993,,Charlotte Hornets (5),3,,Boston Celtics (4),1,,BOS (-165),CHH (+145)
1993,NBA,Eastern Conf First Round,Apr 30 - May 4 1993,,Chicago Bulls (2),3,,Atlanta Hawks (7),0,,CHI (-1200),ATL (+800)
1993,NBA,Eastern Conf First Round,Apr 29 - May 9 1993,,Cleveland Cavaliers (3),3,,New Jersey Nets (6),2,,CLE (-700),NJN (+500)
1993,NBA,Eastern Conf First Round,Apr 30 - May 6 1993,,New York Knicks (1),3,,Indiana Pacers (8),1,,NYK (-900),IND (+600)
1993,NBA,Western Conf First Round,Apr 29 - May 8 1993,,Houston Rockets (2),3,,Los Angeles Clippers (7),2,,HOU (-600),LAC (+400)
1993,NBA,Western Conf First Round,Apr 30 - May 9 1993,,Phoenix Suns (1),3,,Los Angeles Lakers (8),2,,PHO (-3000),LAL (+2000)
1993,NBA,Western Conf First Round,Apr 29 - May 7 1993,,San Antonio Spurs (5),3,,Portland Trail Blazers (4),1,,POR (-250),SAS (+200)
1993,NBA,Western Conf First Round,Apr 30 - May 8 1993,,Seattle SuperSonics (3),3,,Utah Jazz (6),2,,SEA (-350),UTA (+275)
1993,NBA,Eastern Conf Semifinals,May 11 - May 17 1993,,Chicago Bulls (2),4,,Cleveland Cavaliers (3),0,,CHI (-500),CLE (+350)
1993,NBA,Eastern Conf Semifinals,May 9 - May 18 1993,,New York Knicks (1),4,,Charlotte Hornets (5),1,,NYK,CHA
1993,NBA,Western Conf Semifinals,May 11 - May 20 1993,,Phoenix Suns (1),4,,San Antonio Spurs (5),2,,PHO (-650),SAS (+450)
1993,NBA,Western Conf Semifinals,May 10 - May 22 1993,,Seattle SuperSonics (3),4,,Houston Rockets (2),3,,SEA (-135),HOU (+115)
1993,NBA,Eastern Conf Finals,May 23 - Jun 4 1993,,Chicago Bulls (2),4,,New York Knicks (1),2,,CHI (-150),NYK (+130)
1993,NBA,Western Conf Finals,May 24 - Jun 5 1993,,Phoenix Suns (1),4,,Seattle SuperSonics (3),3,,PHO (-330),SEA (+250)
