Year,Points scored,Points allowed
Miami Heat,94.8,89.3
New York Knicks,95.4,92.2
Orlando Magic,94.1,94.5
Washington Bullets,99.4,97.7
New Jersey Nets,97.2,101.8
Philadelphia 76ers,100.2,106.7
Boston Celtics,100.6,107.9
Chicago Bulls,103.1,92.3
Atlanta Hawks,94.8,89.4
Detroit Pistons,94.2,88.9
Charlotte Hornets,98.9,97.0
Cleveland Cavaliers,87.5,85.6
Indiana Pacers,95.4,94.4
Milwaukee Bucks,95.3,97.2
Toronto Raptors,95.5,98.6
Utah Jazz,103.1,94.3
Houston Rockets,100.6,96.1
Minnesota Timberwolves,96.1,97.6
Dallas Mavericks,90.6,97.0
Denver Nuggets,97.8,104.1
San Antonio Spurs,90.5,98.3
Vancouver Grizzlies,89.2,99.4
Seattle SuperSonics,100.9,93.2
Los Angeles Lakers,100.0,95.7
Portland Trail Blazers,99.0,94.8
Phoenix Suns,102.8,102.2
Los Angeles Clippers,97.2,99.5
Sacramento Kings,96.4,99.8
Golden State Warriors,99.6,104.4
