Player ID,Player name,MP
birdla01,Larry Bird,175
johnsde01,Dennis Johnson,152
hendege01,Gerald Henderson,110
parisro01,Robert Parish,167
mchalke01,Kevin McHale,123
maxwece01,Cedric Maxwell,128
bucknqu01,Quinn Buckner,66
wedmasc01,Scott Wedman,50
carrml01,M.L. Carr,14
rulanje01,Jeff Ruland,187
ballagr01,Greg Ballard,168
soberri01,Ricky Sobers,150
johnsfr01,Frank Johnson,156
mahorri01,Rick Mahorn,154
malonje01,Jeff Malone,71
davisch02,Charles Davis,17
mcmilto01,Tom McMillen,42
kopicjo01,Joe Kopicki,25
dayeda01,Darren Daye,15
