1979: N/A vs. N/A
,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Gus Williams,25,5,183,57,114,,,31,49,10,8,18,18,5,3,15,8,145,.500,,.633,36.6,29.0,3.6,3.6,1.0,0.6,willigu01
2,Dennis Johnson,24,5,224,45,98,,,23,32,9,21,30,30,9,11,15,19,113,.459,,.719,44.8,22.6,6.0,6.0,1.8,2.2,johnsde01
3,Jack Sikma,23,5,220,35,68,,,9,14,12,62,74,10,6,16,12,20,79,.515,,.643,44.0,15.8,14.8,2.0,1.2,3.2,sikmaja01
4,John Johnson,31,5,196,22,52,,,14,20,13,29,42,35,6,0,14,14,58,.423,,.700,39.2,11.6,8.4,7.0,1.2,0.0,johnsjo01
5,Fred Brown,30,5,79,20,41,,,6,7,1,5,6,11,5,3,5,7,46,.488,,.857,15.8,9.2,1.2,2.2,1.0,0.6,brownfr01
6,Lonnie Shelton,23,5,147,21,54,,,3,6,13,18,31,9,7,3,11,25,45,.389,,.500,29.4,9.0,6.2,1.8,1.4,0.6,sheltlo01
7,Paul Silas,35,5,133,7,15,,,2,4,6,17,23,5,0,3,4,19,16,.467,,.500,26.6,3.2,4.6,1.0,0.0,0.6,silaspa01
8,Dennis Awtrey,30,4,12,1,2,,,0,0,0,1,1,0,0,0,0,3,2,.500,,,3.0,0.5,0.3,0.0,0.0,0.0,awtrede01
9,Wally Walker,24,4,28,0,2,,,1,2,2,1,3,0,0,0,0,5,1,.000,,.500,7.0,0.3,0.8,0.0,0.0,0.0,walkewa01
10,Joe Hassett,23,2,3,0,1,,,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.5,0.0,0.0,0.0,0.0,0.0,hassejo01

,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Bob Dandridge,31,5,225,44,102,,,21,25,13,27,40,27,5,7,18,23,109,.431,,.840,45.0,21.8,8.0,5.4,1.0,1.4,dandrbo01
2,Elvin Hayes,33,5,203,36,91,,,28,44,21,38,59,6,2,10,15,24,100,.396,,.636,40.6,20.0,11.8,1.2,0.4,2.0,hayesel01
3,Larry Wright,24,5,116,24,49,,,8,11,3,6,9,12,5,0,10,17,56,.490,,.727,23.2,11.2,1.8,2.4,1.0,0.0,wrighla01
4,Wes Unseld,32,5,212,23,48,,,9,12,20,37,57,18,6,4,8,20,55,.479,,.750,42.4,11.0,11.4,3.6,1.2,0.8,unselwe01
5,Kevin Grevey,25,5,110,20,52,,,11,15,5,6,11,6,2,1,7,12,51,.385,,.733,22.0,10.2,2.2,1.2,0.4,0.2,greveke01
6,Greg Ballard,24,5,109,15,33,,,8,10,9,19,28,2,3,0,5,10,38,.455,,.800,21.8,7.6,5.6,0.4,0.6,0.0,ballagr01
7,Charles Johnson,29,5,81,16,43,,,4,5,3,5,8,3,1,1,4,13,36,.372,,.800,16.2,7.2,1.6,0.6,0.2,0.2,johnsch01
8,Tom Henderson,27,5,122,12,36,,,5,8,4,3,7,24,3,0,10,12,29,.333,,.625,24.4,5.8,1.4,4.8,0.6,0.0,hendeto01
9,Phil Chenier,28,3,25,2,11,,,1,4,0,3,3,3,2,0,3,3,5,.182,,.250,8.3,1.7,1.0,1.0,0.7,0.0,cheniph01
10,Dave Corzine,22,4,22,1,4,,,0,0,4,7,11,2,0,0,0,2,2,.250,,,5.5,0.5,2.8,0.5,0.0,0.0,corzida01
